idFactura;idReserva;idServicio;idProducto;cantidad
215;211052;55;71;76
216;132581;46;68;51
217;62408;37;66;61
218;183747;37;66;9
219;148719;40;67;69
220;172270;43;69;55
221;122369;46;68;91
222;123984;37;66;6
223;33615;46;68;29
224;211527;46;68;98
225;20394;37;66;38
226;144946;49;70;91
227;116779;46;68;94
228;67123;37;66;81
229;166120;55;71;23
230;245844;46;68;60
231;243665;37;66;35
232;120309;49;70;29
233;80113;49;70;80
234;109097;49;70;13
235;249010;37;66;85
236;187383;46;68;90
237;227989;40;67;46
238;207598;43;69;46
239;247315;40;67;87
240;236513;55;71;34
241;234285;37;66;95
242;231544;37;66;83
243;105301;55;71;79
244;213498;40;67;20
245;78826;46;68;43
246;119508;55;71;73
247;64158;46;68;11
248;176647;37;66;93
249;31249;46;68;34
250;45201;43;69;66
251;156272;46;68;73
252;129145;49;70;62
253;7219;55;71;15
254;193273;37;66;92
255;228629;37;66;81
256;210379;49;70;50
257;218842;55;71;59
258;238090;37;66;88
259;186217;40;67;38
260;128667;43;69;66
261;207967;55;71;13
262;90084;55;71;53
263;64864;55;71;81
264;184329;43;69;33
265;160525;37;66;24
266;216759;37;66;51
267;107387;43;69;94
268;96594;43;69;91
269;113399;40;67;14
270;209311;49;70;27
271;98593;46;68;81
272;129558;40;67;78
273;173444;55;71;1
274;143506;43;69;86
275;213442;55;71;55
276;27778;43;69;22
277;131909;46;68;96
278;21744;46;68;71
279;197226;49;70;47
280;41970;40;67;67
281;205022;49;70;57
282;203767;49;70;87
283;32148;55;71;91
284;104204;46;68;6
285;237645;49;70;99
286;134287;37;66;20
287;133456;55;71;82
288;103380;43;69;10
289;130227;49;70;79
290;85247;43;69;41
291;48841;43;69;86
292;174684;43;69;79
293;97501;40;67;85
294;10565;37;66;87
295;77094;43;69;41
296;63443;55;71;42
297;131851;43;69;89
298;158543;55;71;70
299;36790;46;68;57
300;122894;46;68;43
301;124330;37;66;19
302;128964;46;68;51
303;246336;49;70;92
304;231073;43;69;18
305;128466;40;67;29
306;220394;49;70;47
307;70029;43;69;42
308;213118;43;69;43
309;80151;37;66;50
310;212446;37;66;11
311;74158;37;66;41
312;44796;49;70;18
313;135645;43;69;36
314;223535;55;71;90
315;141328;37;66;32
316;163107;40;67;51
317;54656;37;66;58
318;3006;46;68;47
319;50621;37;66;94
320;75430;49;70;5
321;77683;37;66;19
322;77400;40;67;17
323;24388;37;66;45
324;68561;37;66;62
325;179725;49;70;75
326;243930;37;66;49
327;240049;49;70;57
328;42363;46;68;5
329;164119;37;66;98
330;67434;37;66;43
331;238397;55;71;44
332;204716;49;70;72
333;12115;40;67;83
334;62326;43;69;48
335;225813;37;66;25
336;210758;43;69;94
337;27979;49;70;49
338;248495;43;69;41
339;144397;55;71;43
340;206359;43;69;38
341;125844;43;69;34
342;224660;40;67;81
343;170121;37;66;11
344;109300;37;66;23
345;170647;49;70;39
346;8122;43;69;58
347;87822;49;70;25
348;119818;55;71;34
349;71343;46;68;36
350;244105;43;69;88
351;125862;37;66;15
352;172167;37;66;81
353;24022;40;67;17
354;23526;37;66;55
355;230827;40;67;24
356;243106;43;69;62
357;196311;46;68;36
358;194694;55;71;72
359;233610;46;68;52
360;194789;40;67;74
361;73188;40;67;67
362;7582;49;70;65
363;129999;40;67;28
364;37992;40;67;85
365;207233;43;69;19
366;67998;55;71;52
367;151748;55;71;34
368;64652;40;67;62
369;15576;37;66;21
370;140496;49;70;88
371;175780;43;69;17
372;27698;46;68;36
373;226864;40;67;36
374;149448;40;67;14
375;172198;46;68;2
376;25310;40;67;15
377;186218;55;71;62
378;242162;37;66;92
379;198889;46;68;16
380;37183;46;68;9
381;240359;40;67;39
382;202897;43;69;33
383;6834;49;70;5
384;200724;46;68;33
385;48488;46;68;62
386;201937;55;71;24
387;125317;37;66;68
388;805;40;67;76
389;100983;49;70;31
390;212135;40;67;53
391;233206;49;70;54
392;202033;43;69;19
393;68117;49;70;88
394;36078;40;67;10
395;52182;55;71;35
396;113597;46;68;13
397;12398;46;68;24
398;191009;37;66;84
399;114828;55;71;100
400;127640;43;69;33
401;74248;37;66;16
402;105835;46;68;100
403;71907;55;71;2
404;180250;46;68;89
405;65398;40;67;73
406;140408;43;69;75
407;197259;40;67;48
408;116056;37;66;75
409;34054;46;68;64
410;129750;37;66;80
411;239154;55;71;3
412;129251;55;71;85
413;11643;46;68;65
414;129176;49;70;60
415;69179;43;69;57
416;189433;55;71;27
417;103977;40;67;64
418;55193;37;66;41
419;80626;49;70;63
420;175178;43;69;97
421;228651;49;70;44
422;237350;46;68;80
423;90620;37;66;60
424;131270;40;67;66
425;114621;43;69;42
426;186807;37;66;77
427;20678;46;68;4
428;166559;55;71;99
429;40378;49;70;4
430;173320;49;70;81
431;75358;46;68;3
432;86618;55;71;94
433;97522;55;71;80
434;111846;46;68;39
435;102382;55;71;6
436;19793;40;67;28
437;79765;55;71;76
438;73037;40;67;97
439;192858;40;67;57
440;164645;43;69;47
441;13535;40;67;94
442;8211;49;70;94
443;94022;43;69;95
444;76325;46;68;97
445;22945;55;71;12
446;236005;37;66;51
447;217544;46;68;63
448;65351;40;67;54
449;215963;55;71;45
450;153766;40;67;84
451;90331;43;69;22
452;152455;46;68;8
453;162471;43;69;69
454;236765;55;71;60
455;88799;55;71;1
456;149489;46;68;63
457;96350;55;71;70
458;158367;43;69;65
459;237186;40;67;52
460;202937;40;67;2
461;91554;46;68;13
462;199519;37;66;34
463;83465;49;70;95
464;162611;49;70;79
465;147599;46;68;31
466;135273;37;66;46
467;8745;46;68;54
468;215508;40;67;64
469;136024;55;71;10
470;87113;49;70;60
471;222344;43;69;89
472;76027;37;66;79
473;49691;40;67;69
474;67118;37;66;80
475;231441;43;69;79
476;41439;43;69;93
477;47371;43;69;92
478;125723;55;71;4
479;219615;40;67;69
480;118692;40;67;27
481;95348;55;71;12
482;35445;55;71;45
483;30650;46;68;2
484;175873;55;71;22
485;191662;46;68;90
486;44980;43;69;97
487;63423;55;71;84
488;127525;55;71;41
489;6349;43;69;100
490;232842;40;67;25
491;167339;55;71;16
492;104677;43;69;53
493;242492;40;67;5
494;156641;46;68;98
495;133550;37;66;28
496;127493;55;71;79
497;104333;40;67;17
498;241475;40;67;59
499;26503;46;68;93
500;130524;55;71;91
501;211775;43;69;68
502;233210;55;71;68
503;72688;49;70;84
504;154440;40;67;73
505;24871;43;69;80
506;96811;37;66;69
507;9552;37;66;69
508;195374;40;67;31
509;211560;37;66;6
510;117375;40;67;84
511;28546;37;66;56
512;228908;37;66;57
513;14462;46;68;18
514;138231;37;66;83
515;157006;49;70;5
516;205461;43;69;96
517;18505;37;66;94
518;216565;40;67;9
519;27223;40;67;64
520;99514;55;71;27
521;155801;46;68;26
522;135960;46;68;77
523;18012;40;67;50
524;239745;49;70;72
525;168239;40;67;64
526;182017;37;66;4
527;223661;37;66;79
528;106743;55;71;40
529;105814;46;68;35
530;156941;46;68;82
531;218556;55;71;17
532;15870;40;67;82
533;61144;40;67;72
534;190704;46;68;79
535;77076;37;66;14
536;123739;43;69;89
537;89474;43;69;65
538;12479;37;66;86
539;213889;43;69;10
540;38378;55;71;1
541;212788;40;67;65
542;106701;55;71;49
543;141728;55;71;97
544;202933;40;67;62
545;22606;46;68;88
546;69652;55;71;28
547;238551;46;68;86
548;182420;40;67;37
549;227856;46;68;86
550;49981;49;70;77
551;62809;43;69;99
552;132392;43;69;86
553;191066;37;66;14
554;163161;55;71;63
555;40299;46;68;28
556;203239;46;68;7
557;119673;49;70;35
558;179912;49;70;43
559;141408;46;68;6
560;162859;46;68;93
561;57832;40;67;19
562;22733;46;68;22
563;65759;37;66;55
564;197936;46;68;62
565;88663;43;69;13
566;183685;43;69;27
567;52613;40;67;65
568;153897;55;71;6
569;22421;40;67;98
570;125699;37;66;64
571;215064;37;66;56
572;91107;40;67;33
573;136393;43;69;45
574;168702;43;69;84
575;234351;37;66;43
576;54347;43;69;43
577;41340;37;66;23
578;166707;55;71;7
579;8428;37;66;49
580;78912;55;71;12
581;37965;46;68;51
582;197599;40;67;97
583;91005;46;68;8
584;134794;43;69;43
585;198020;43;69;33
586;31153;40;67;56
587;223676;37;66;43
588;135323;43;69;45
589;15072;37;66;41
590;91007;55;71;58
591;38211;46;68;91
592;202038;43;69;30
593;70449;40;67;2
594;77684;37;66;70
595;45480;40;67;20
596;220070;43;69;79
597;200647;46;68;30
598;230913;49;70;11
599;155799;43;69;87
600;85705;55;71;66
601;75362;40;67;5
602;85989;43;69;1
603;107372;40;67;16
604;237159;46;68;37
605;182381;43;69;29
606;220052;40;67;45
607;164132;55;71;95
608;174570;55;71;88
609;132693;40;67;95
610;2672;55;71;30
611;187862;49;70;53
612;145078;43;69;20
613;213206;37;66;81
614;92449;37;66;84
615;201471;40;67;98
616;235398;37;66;51
617;161159;43;69;83
618;238396;49;70;6
619;83192;49;70;89
620;47054;49;70;43
621;99901;46;68;70
622;48008;55;71;86
623;174455;37;66;24
624;45755;40;67;20
625;180988;46;68;15
626;165432;37;66;62
627;198477;49;70;43
628;197314;37;66;46
629;113887;37;66;69
630;88490;43;69;100
631;136281;49;70;48
632;179453;46;68;76
633;225428;37;66;20
634;245103;55;71;88
635;32233;43;69;22
636;74004;40;67;40
637;146622;40;67;91
638;178424;40;67;44
639;209557;49;70;57
640;139231;40;67;30
641;65710;49;70;25
642;113608;40;67;24
643;12866;37;66;70
644;115150;46;68;98
645;93608;37;66;38
646;179352;49;70;54
647;185733;49;70;77
648;243335;49;70;23
649;115148;46;68;9
650;25146;43;69;74
651;212530;49;70;34
652;46997;40;67;60
653;47383;49;70;15
654;169218;37;66;66
655;85693;43;69;7
656;151179;40;67;8
657;74916;46;68;15
658;45389;46;68;74
659;183265;40;67;15
660;126335;55;71;10
661;161953;55;71;72
662;109015;55;71;81
663;155228;46;68;71
664;81434;46;68;2
665;67488;37;66;71
666;149549;40;67;42
667;171615;55;71;84
668;178519;55;71;35
669;98567;55;71;18
670;4176;40;67;63
671;23720;37;66;63
672;241423;40;67;6
673;166260;43;69;57
674;59344;37;66;5
675;185497;46;68;64
676;24673;46;68;34
677;63940;55;71;23
678;53342;55;71;25
679;181158;37;66;49
680;102872;46;68;5
681;66995;55;71;68
682;113289;37;66;3
683;39105;46;68;96
684;27234;49;70;5
685;180719;37;66;58
686;206712;40;67;68
687;243412;55;71;75
688;25982;40;67;44
689;159296;40;67;6
690;179470;43;69;74
691;59130;37;66;24
692;232861;46;68;56
693;17098;40;67;20
694;36395;37;66;27
695;191697;49;70;39
696;11618;40;67;82
697;164552;40;67;9
698;223140;49;70;83
699;46281;40;67;23
700;204217;40;67;51
701;70650;43;69;43
702;238600;55;71;83
703;69560;46;68;79
704;115263;43;69;45
705;86735;40;67;16
706;172286;49;70;41
707;90664;37;66;76
708;217157;49;70;15
709;80614;46;68;18
710;248870;55;71;77
711;22578;43;69;28
712;2697;40;67;65
713;126894;40;67;81
714;71989;37;66;46
715;115526;46;68;8
716;81444;37;66;49
717;223171;37;66;71
718;134058;49;70;58
719;85396;40;67;91
720;112331;43;69;22
721;40163;43;69;26
722;219176;55;71;11
723;219513;49;70;30
724;85217;40;67;55
725;241148;49;70;65
726;132168;37;66;74
727;83163;49;70;23
728;192212;55;71;82
729;61954;43;69;5
730;90839;37;66;28
731;149555;46;68;76
732;73687;46;68;10
733;105688;37;66;36
734;191359;43;69;86
735;246208;49;70;53
736;52274;43;69;72
737;204635;49;70;8
738;111643;49;70;51
739;153433;43;69;19
740;35173;55;71;31
741;177787;40;67;57
742;244899;46;68;8
743;87849;46;68;90
744;154733;55;71;88
745;23687;43;69;24
746;66249;49;70;68
747;30098;55;71;18
748;39958;43;69;2
749;24842;40;67;91
750;87996;40;67;63
751;203806;37;66;22
752;217485;43;69;71
753;32549;55;71;63
754;36201;55;71;94
755;194269;37;66;5
756;229047;49;70;43
757;145024;40;67;12
758;113550;46;68;18
759;45649;37;66;3
760;18470;46;68;39
761;77744;40;67;80
762;245861;40;67;95
763;63164;37;66;9
764;165607;40;67;75
765;141482;40;67;28
766;14109;40;67;75
767;176100;46;68;5
768;210080;49;70;73
769;166190;46;68;6
770;236228;55;71;24
771;173331;55;71;53
772;110862;55;71;72
773;48250;46;68;41
774;183209;55;71;31
775;211263;40;67;74
776;40294;49;70;90
777;93408;49;70;52
778;114190;55;71;42
779;123649;40;67;15
780;16289;40;67;53
781;209679;40;67;17
782;133561;46;68;79
783;116403;43;69;90
784;124308;55;71;26
785;103809;37;66;26
786;20861;55;71;83
787;23017;46;68;69
788;30540;37;66;44
789;235098;46;68;42
790;86729;46;68;42
791;60408;37;66;27
792;185929;46;68;68
793;200186;49;70;89
794;53814;55;71;26
795;69803;37;66;4
796;214690;49;70;27
797;216668;49;70;88
798;194069;37;66;15
799;92933;40;67;29
800;192018;46;68;9
801;125343;49;70;1
802;171684;55;71;27
803;22574;55;71;85
804;236691;40;67;84
805;228240;46;68;24
806;249566;40;67;38
807;165617;37;66;65
808;66246;43;69;11
809;78731;37;66;91
810;205617;46;68;98
811;114582;40;67;29
812;74825;43;69;12
813;106757;49;70;35
814;236456;49;70;17
815;221161;43;69;41
816;156774;46;68;2
817;191236;46;68;17
818;105806;37;66;92
819;195892;43;69;87
820;163671;43;69;66
821;120346;43;69;32
822;86161;43;69;4
823;173455;43;69;9
824;169853;49;70;13
825;61503;40;67;53
826;195752;37;66;23
827;208663;43;69;73
828;136170;40;67;93
829;225102;46;68;91
830;134972;49;70;31
831;121486;40;67;63
832;103169;40;67;45
833;152964;37;66;99
834;6804;40;67;74
835;26309;40;67;92
836;22330;49;70;31
837;188216;46;68;11
838;141669;37;66;97
839;44719;49;70;52
840;145835;43;69;53
841;154614;40;67;76
842;152262;55;71;64
843;121430;46;68;64
844;16676;55;71;1
845;119818;40;67;68
846;76516;46;68;93
847;57968;37;66;1
848;180243;43;69;1
849;145394;43;69;36
850;209506;46;68;96
851;214881;46;68;53
852;123445;40;67;34
853;179708;55;71;82
854;249633;37;66;39
855;11896;46;68;24
856;223060;46;68;49
857;214134;43;69;24
858;54951;37;66;36
859;35165;55;71;66
860;102546;55;71;8
861;115057;37;66;93
862;41923;46;68;55
863;102583;40;67;23
864;208894;43;69;10
865;230658;55;71;86
866;227892;46;68;54
867;194474;43;69;39
868;84485;43;69;6
869;237586;55;71;4
870;61921;43;69;65
871;74464;43;69;2
872;153387;40;67;93
873;186719;46;68;10
874;170179;37;66;23
875;184201;55;71;20
876;98607;55;71;44
877;155885;49;70;60
878;224650;37;66;55
879;141240;40;67;27
880;101680;37;66;74
881;44341;37;66;18
882;243840;46;68;14
883;54507;37;66;42
884;94792;46;68;10
885;91052;49;70;69
886;200718;40;67;7
887;90138;55;71;53
888;139541;40;67;41
889;241258;55;71;32
890;155171;37;66;53
891;39154;43;69;43
892;106074;55;71;69
893;213456;43;69;54
894;45147;43;69;5
895;45898;55;71;50
896;41718;43;69;1
897;27145;55;71;74
898;220875;49;70;9
899;163526;55;71;22
900;153664;40;67;91
901;161857;40;67;15
902;220171;43;69;49
903;92565;46;68;38
904;145719;40;67;57
905;80154;49;70;19
906;145754;37;66;46
907;123765;55;71;37
908;217755;49;70;68
909;106622;55;71;75
910;18864;46;68;12
911;130020;37;66;46
912;85302;43;69;72
913;191485;43;69;34
914;188230;49;70;92
915;32813;49;70;82
916;248951;46;68;11
917;52316;43;69;20
918;54381;37;66;47
919;98939;43;69;18
920;49476;55;71;48
921;232;43;69;57
922;55496;49;70;91
923;100715;55;71;83
924;205829;49;70;52
925;166521;55;71;27
926;116874;49;70;52
927;158395;49;70;92
928;20331;49;70;91
929;64329;46;68;100
930;221560;43;69;27
931;207587;46;68;96
932;151053;43;69;63
933;220972;40;67;23
934;20820;40;67;86
935;63393;37;66;51
936;68295;55;71;35
937;219182;46;68;1
938;60445;46;68;65
939;213217;37;66;43
940;180403;37;66;64
941;164691;55;71;88
942;9056;43;69;28
943;157198;49;70;26
944;136413;55;71;28
945;155456;43;69;76
946;195709;37;66;39
947;82009;40;67;94
948;65478;43;69;2
949;139641;40;67;56
950;244689;49;70;4
951;141980;40;67;69
952;75783;43;69;2
953;237937;37;66;83
954;198903;37;66;31
955;59627;49;70;7
956;95192;46;68;33
957;63605;43;69;100
958;139857;46;68;86
959;18245;40;67;86
960;67831;37;66;36
961;215429;37;66;36
962;201315;37;66;54
963;24567;37;66;89
964;207515;49;70;98
965;9117;37;66;92
966;184102;46;68;45
967;130792;40;67;69
968;177508;37;66;51
969;210912;49;70;40
970;221283;55;71;79
971;26469;43;69;66
972;11771;49;70;18
973;24858;37;66;46
974;65240;55;71;60
975;197796;43;69;69
976;174491;46;68;34
977;95422;43;69;51
978;99277;40;67;32
979;76700;37;66;23
980;64700;37;66;30
981;248848;43;69;98
982;176593;40;67;88
983;198757;46;68;92
984;167935;43;69;10
985;32223;49;70;76
986;106275;43;69;37
987;112320;37;66;84
988;139214;49;70;5
989;247922;55;71;45
990;91054;37;66;30
991;132348;43;69;81
992;114883;46;68;22
993;103178;40;67;69
994;247064;46;68;17
995;85199;46;68;12
996;48377;55;71;61
997;59388;46;68;74
998;6813;49;70;30
999;204619;40;67;97
1000;37991;37;66;5
1001;234539;40;67;28
1002;68996;49;70;16
1003;127885;49;70;77
1004;102373;43;69;55
1005;33806;55;71;20
1006;88963;40;67;64
1007;162030;37;66;82
1008;47319;55;71;39
1009;61907;37;66;83
1010;176693;49;70;8
1011;87870;43;69;61
1012;129443;40;67;3
1013;186861;37;66;51
1014;236818;49;70;91
1015;99915;46;68;32
1016;227614;46;68;73
1017;16569;49;70;61
1018;70284;43;69;8
1019;244934;40;67;3
1020;236511;40;67;16
1021;188737;46;68;56
1022;120665;40;67;24
1023;65558;49;70;79
1024;232503;40;67;15
1025;219165;46;68;16
1026;28213;46;68;55
1027;159924;40;67;65
1028;230990;40;67;98
1029;170292;55;71;1
1030;245757;43;69;73
1031;146158;40;67;88
1032;31228;40;67;7
1033;195385;43;69;80
1034;92164;55;71;89
1035;106215;40;67;70
1036;40488;55;71;40
1037;179054;43;69;9
1038;91281;55;71;28
1039;144937;40;67;7
1040;133889;46;68;39
1041;234376;46;68;95
1042;245451;55;71;68
1043;126846;43;69;74
1044;92990;43;69;3
1045;235426;55;71;43
1046;233231;49;70;49
1047;12968;40;67;55
1048;168884;40;67;17
1049;162005;46;68;92
1050;179124;46;68;52
1051;105904;55;71;100
1052;59167;46;68;85
1053;138603;55;71;85
1054;109375;40;67;9
1055;45331;46;68;44
1056;135197;55;71;55
1057;42113;46;68;80
1058;130128;37;66;40
1059;59197;37;66;94
1060;33510;40;67;23
1061;31031;37;66;31
1062;237104;43;69;44
1063;22594;49;70;13
1064;184540;55;71;69
1065;140459;49;70;92
1066;215664;37;66;38
1067;30354;46;68;58
1068;150496;43;69;69
1069;233291;55;71;82
1070;167208;49;70;98
1071;241801;37;66;26
1072;31522;40;67;73
1073;212482;40;67;6
1074;4145;55;71;39
1075;5944;49;70;79
1076;48011;40;67;36
1077;19993;46;68;64
1078;216719;46;68;12
1079;89906;49;70;41
1080;84013;46;68;21
1081;131480;37;66;77
1082;144061;55;71;88
1083;158210;49;70;5
1084;123763;37;66;1
1085;86081;49;70;40
1086;45890;49;70;48
1087;190928;55;71;98
1088;160510;46;68;72
1089;104304;49;70;52
1090;4487;55;71;74
1091;225101;55;71;80
1092;170386;43;69;14
1093;72885;46;68;80
1094;166166;46;68;43
1095;54531;55;71;16
1096;25427;46;68;55
1097;103570;46;68;7
1098;238824;43;69;85
1099;236914;43;69;13
1100;57633;49;70;42
1101;27622;46;68;58
1102;19814;40;67;95
1103;23620;40;67;78
1104;106371;49;70;71
1105;96108;49;70;66
1106;227600;49;70;50
1107;197465;43;69;20
1108;144253;46;68;60
1109;103558;49;70;77
1110;199171;37;66;87
1111;229665;43;69;57
1112;225392;37;66;31
1113;86457;40;67;85
1114;150129;55;71;1
1115;211596;37;66;9
1116;109981;37;66;96
1117;91157;40;67;78
1118;90379;43;69;31
1119;142644;40;67;38
1120;181212;55;71;11
1121;21167;37;66;24
1122;207097;49;70;43
1123;35826;49;70;86
1124;218255;40;67;5
1125;89255;40;67;41
1126;81740;49;70;16
1127;18573;43;69;21
1128;75431;43;69;9
1129;29200;37;66;90
1130;185657;55;71;53
1131;206578;37;66;51
1132;174273;49;70;2
1133;31958;43;69;5
1134;144301;46;68;20
1135;220247;40;67;85
1136;17210;49;70;79
1137;240425;40;67;41
1138;92727;46;68;54
1139;145836;43;69;26
1140;215789;55;71;41
1141;208491;49;70;26
1142;123835;49;70;76
1143;10915;40;67;69
1144;127534;37;66;64
1145;4222;43;69;88
1146;86593;43;69;15
1147;142312;55;71;15
1148;157197;46;68;75
1149;179333;40;67;83
1150;10610;55;71;18
1151;104749;55;71;91
1152;179837;55;71;86
1153;239306;46;68;21
1154;129781;40;67;69
1155;96272;46;68;34
1156;10400;37;66;61
1157;4676;37;66;42
1158;10908;49;70;24
1159;125092;55;71;27
1160;131463;43;69;59
1161;62296;46;68;59
1162;226741;55;71;1
1163;235224;46;68;36
1164;38269;40;67;39
1165;192903;55;71;29
1166;208707;37;66;56
1167;42290;37;66;39
1168;213221;37;66;6
1169;242334;43;69;74
1170;101128;37;66;49
1171;146992;49;70;69
1172;232241;49;70;30
1173;187743;37;66;9
1174;475;55;71;97
1175;192551;43;69;75
1176;117563;43;69;9
1177;198668;55;71;1
1178;177195;55;71;82
1179;107168;40;67;68
1180;172529;46;68;67
1181;8553;43;69;34
1182;225257;55;71;39
1183;222079;49;70;49
1184;181461;46;68;98
1185;2876;49;70;2
1186;168037;40;67;9
1187;213947;37;66;55
1188;33025;43;69;72
1189;24426;55;71;1
1190;86073;55;71;21
1191;19385;49;70;19
1192;210799;46;68;27
1193;72719;40;67;37
1194;136300;40;67;96
1195;214083;49;70;16
1196;153244;43;69;67
1197;214014;37;66;29
1198;79318;43;69;33
1199;13842;49;70;58
1200;23039;49;70;42
1201;123762;55;71;59
1202;186432;49;70;85
1203;72766;37;66;33
1204;13779;43;69;20
1205;98206;49;70;34
1206;238494;37;66;68
1207;249051;49;70;9
1208;78564;55;71;7
1209;193366;49;70;8
1210;23818;37;66;96
1211;48601;49;70;58
1212;230787;40;67;13
1213;162487;37;66;12
1214;131740;49;70;7
1215;219303;55;71;45
1216;74031;40;67;38
1217;57410;40;67;84
1218;141866;43;69;23
1219;206066;49;70;34
1220;153479;43;69;66
1221;42909;43;69;16
1222;104510;37;66;69
1223;212185;43;69;1
1224;151656;43;69;40
1225;87721;55;71;83
1226;140074;55;71;54
1227;205848;55;71;68
1228;156477;49;70;63
1229;2725;49;70;62
1230;64569;40;67;89
1231;125969;37;66;60
1232;131972;49;70;2
1233;50410;43;69;3
1234;216353;37;66;55
1235;6844;40;67;94
1236;64182;46;68;51
1237;226538;43;69;70
1238;68462;49;70;14
1239;129449;49;70;51
1240;144478;46;68;57
1241;220648;40;67;59
1242;45743;37;66;74
1243;24642;46;68;96
1244;148362;40;67;23
1245;110243;55;71;62
1246;30247;55;71;44
